model,V_channel_m_s,Hf_mm,b_mm,L_mm,W_mm,tf_mm,number_of_fins,number_of_channels,used_width_mm,Dh_mm,flow_area_m2,fin_side_area_m2,base_exposed_area_m2,total_geometric_area_m2,volumetric_flow_CFM,volumetric_flow_m3_h,m_dot_kg_s,C_air_W_K,Re_Dh,Re_note,Re_b,Re_star,Nu,h_W_m2K,eta_fin,A_eff_m2,hA_eff_W_K,NTU,epsilon,R_TIM_K_W,R_spreading_contact_base_K_W,R_hs_K_W,R_total_K_W,T_chip_C,thermal_margin_C,T_air_out_chip_C,T_air_out_full_board_C,deltaT_air_chip_K,deltaT_air_full_board_K,dynamic_pressure_Pa,pressure_drop_channel_Pa_approx,status
teertstra,2,25,2,80,80.0,1.0,26,25,76.00000000000001,3.7037037037037033,0.00125,0.10400000000000001,0.004,0.10800000000000001,5.2972,9.0,0.00296,2.98072,474.074074074074,Laminar indicator,256.0,6.4,1.827382052370825,24.03007398867635,0.9478529119050195,0.10257670283812204,2.4649257587145397,0.8269564933017995,0.562621573156737,0.01646090534979424,0.03,0.596296743602999,0.6427576489527932,185.6894122381983,-100.68941223819829,108.87235298853969,132.3566118253308,83.87235298853969,107.35661182533079,2.368,10.357632,FAIL
teertstra,2,25,2,100,80.0,1.0,26,25,76.00000000000001,3.7037037037037033,0.00125,0.13,0.005000000000000001,0.135,5.2972,9.0,0.00296,2.98072,474.074074074074,Laminar indicator,256.0,5.12,1.5544368508960673,20.440844589283284,0.9552239140525999,0.12917910882683797,2.6405300877115074,0.8858698863735969,0.5876446850508614,0.01646090534979424,0.03,0.5709052093700493,0.6173661147198435,179.34152867996087,-94.34152867996087,108.87235298853969,132.3566118253308,83.87235298853969,107.35661182533079,2.368,12.947040000000001,FAIL
teertstra,2,25,2,120,80.0,1.0,26,25,76.00000000000001,3.7037037037037033,0.00125,0.15600000000000003,0.006,0.16200000000000003,5.2972,9.0,0.00296,2.98072,474.074074074074,Laminar indicator,256.0,4.266666666666667,1.3475443580222717,17.72020830799287,0.9609042786529733,0.15590106746986387,2.762599391004439,0.9268228451529963,0.6041907379101357,0.01646090534979424,0.03,0.5552706966588054,0.6017316020085995,175.4329005021499,-90.43290050214989,108.87235298853969,132.3566118253308,83.87235298853969,107.35661182533079,2.368,15.536447999999998,FAIL
teertstra,2,25,2,150,80.0,1.0,26,25,76.00000000000001,3.7037037037037033,0.00125,0.195,0.0075,0.2025,5.2972,9.0,0.00296,2.98072,474.074074074074,Laminar indicator,256.0,3.4133333333333336,1.1183281237586926,14.706014827426808,0.9672937056791769,0.19612227260743953,2.884177048953648,0.9676108621251402,0.6200101974912753,0.01646090534979424,0.03,0.5411030549362532,0.5875639602860474,171.89099007151185,-86.89099007151185,108.87235298853969,132.3566118253308,83.87235298853969,107.35661182533079,2.368,19.42056,FAIL
teertstra,2,25,3,80,80.0,1.0,20,19,77.0,5.357142857142857,0.001425,0.08000000000000002,0.004560000000000001,0.08456000000000001,6.038808,10.26,0.0033744,3.3980208,685.7142857142857,Laminar indicator,384.0,14.400000000000002,2.9325237815997127,25.70845848535748,0.9444530722243647,0.08011624577794918,2.059665178585103,0.6061367189350645,0.4545459538350891,0.01646090534979424,0.03,0.6474349961132737,0.6938959014630679,198.47397536576696,-113.47397536576696,98.5722394636313,119.17246651344807,73.5722394636313,94.17246651344807,2.368,4.950698666666667,FAIL
teertstra,2,25,3,100,80.0,1.0,20,19,77.0,5.357142857142857,0.001425,0.1,0.0057,0.1057,6.038808,10.26,0.0033744,3.3980208,685.7142857142857,Laminar indicator,384.0,11.520000000000001,2.614213655223488,22.917939710792574,0.9501220983697156,0.10071220983697156,2.308116353184405,0.6792531561856258,0.4930045025429055,0.01646090534979424,0.03,0.5969295540640902,0.6433904594138844,185.8476148534711,-100.8476148534711,98.5722394636313,119.17246651344807,73.5722394636313,94.17246651344807,2.368,6.188373333333334,FAIL
teertstra,2,25,3,120,80.0,1.0,20,19,77.0,5.357142857142857,0.001425,0.12,0.00684,0.12684,6.038808,10.26,0.0033744,3.3980208,685.7142857142857,Laminar indicator,384.0,9.600000000000001,2.362079846022996,20.707566650134932,0.9546713915522311,0.12140056698626774,2.5139103322323098,0.7398160518123696,0.5227983121663808,0.01646090534979424,0.03,0.562911071068775,0.6093719764185692,177.34299410464232,-92.34299410464232,98.5722394636313,119.17246651344807,73.5722394636313,94.17246651344807,2.368,7.426048,FAIL
teertstra,2,25,3,150,80.0,1.0,20,19,77.0,5.357142857142857,0.001425,0.15000000000000002,0.00855,0.15855000000000002,6.038808,10.26,0.0033744,3.3980208,685.7142857142857,Laminar indicator,384.0,7.6800000000000015,2.062792085258952,18.083810614103477,0.9601403963425624,0.15257105945138438,2.7590661443119577,0.8119627002612692,0.5560142005407482,0.01646090534979424,0.03,0.5292831686102913,0.5757440739600855,168.93601849002138,-83.93601849002138,98.5722394636313,119.17246651344807,73.5722394636313,94.17246651344807,2.368,9.28256,FAIL
teertstra,2,25,4,80,80.0,1.0,16,15,76.0,6.896551724137931,0.0015,0.064,0.0048,0.0688,6.3566400000000005,10.8,0.003552,3.576864,882.7586206896551,Laminar indicator,512.0,25.6,3.8280960169317804,25.169731311326455,0.9455411303406103,0.06531463234179906,1.6439517467411553,0.4596070039960019,0.3684682137870412,0.01646090534979424,0.03,0.7587479720119928,0.805208877361787,226.30221934044675,-141.30221934044675,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,2.987232,FAIL
teertstra,2,25,4,100,80.0,1.0,16,15,76.0,6.896551724137931,0.0015,0.08000000000000002,0.006,0.08600000000000002,6.3566400000000005,10.8,0.003552,3.576864,882.7586206896551,Laminar indicator,512.0,20.48,3.464477657314975,22.77894059684596,0.9504066355124559,0.08203253084099649,1.8686141470359932,0.5224168844652727,0.4069146045090142,0.01646090534979424,0.03,0.6870594145892978,0.733520319939092,208.38007998477298,-123.38007998477298,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,3.734040000000001,FAIL
