model,V_channel_m_s,Hf_mm,b_mm,L_mm,W_mm,tf_mm,number_of_fins,number_of_channels,used_width_mm,Dh_mm,flow_area_m2,fin_side_area_m2,base_exposed_area_m2,total_geometric_area_m2,volumetric_flow_CFM,volumetric_flow_m3_h,m_dot_kg_s,C_air_W_K,Re_Dh,Re_note,Re_b,Re_star,Nu,h_W_m2K,eta_fin,A_eff_m2,hA_eff_W_K,NTU,epsilon,R_TIM_K_W,R_spreading_contact_base_K_W,R_hs_K_W,R_total_K_W,T_chip_C,thermal_margin_C,T_air_out_chip_C,T_air_out_full_board_C,deltaT_air_chip_K,deltaT_air_full_board_K,dynamic_pressure_Pa,pressure_drop_channel_Pa_approx,status
teertstra,4,50,2,120,80.0,1.0,26,25,76.00000000000001,3.846153846153846,0.0025,0.31200000000000006,0.006,0.31800000000000006,21.1888,36.0,0.01184,11.92288,984.6153846153845,Laminar indicator,512.0,8.533333333333333,2.2027544105977657,28.96622049936062,0.7969147861760223,0.25463741328691897,7.375883460655714,0.6186327012144478,0.46131952855468095,0.01646090534979424,0.03,0.18180967376627793,0.22827057911607218,82.06764477901805,2.932355220981947,45.96808824713492,51.8391529563327,20.968088247134922,26.839152956332697,9.472,28.813823999999997,PASS
teertstra,4,50,2,150,80.0,1.0,26,25,76.00000000000001,3.846153846153846,0.0025,0.39,0.0075,0.3975,21.1888,36.0,0.01184,11.92288,984.6153846153845,Laminar indicator,512.0,6.826666666666667,1.909616754234934,25.111460318189383,0.8180812259311663,0.3265516781131549,8.200189506776642,0.6877691888852897,0.4973037604844003,0.01646090534979424,0.03,0.16865417005261243,0.21511507540240668,78.77876885060167,6.221231149398335,45.96808824713492,51.8391529563327,20.968088247134922,26.839152956332697,9.472,36.01728,PASS
teertstra,4,50,3,150,80.0,1.0,20,19,77.0,5.660377358490566,0.00285,0.30000000000000004,0.00855,0.30855000000000005,24.155232,41.04,0.0134976,13.5920832,1449.0566037735848,Laminar indicator,768.0,15.360000000000003,3.0269355981865047,26.536135410768356,0.8100968879056946,0.2515790663717084,6.6759361717543335,0.4911635746722279,0.3880860278129198,0.01646090534979424,0.03,0.18957714061042527,0.23603804596021952,84.00951149005488,0.9904885099451235,43.39305986590783,48.543116628362014,18.39305986590783,23.543116628362014,9.472,16.629279999999998,PASS
teertstra,5,35,2,150,80.0,1.0,26,25,76.00000000000001,3.7837837837837838,0.0017500000000000003,0.273,0.0075,0.2805,18.540200000000002,31.500000000000004,0.010360000000000001,10.432520000000002,1210.8108108108108,Laminar indicator,640.0,8.533333333333333,2.2027544105977657,28.96622049936062,0.8864530612632319,0.24950168572486234,7.227120843668539,0.6927492919897146,0.4998010161308062,0.01646090534979424,0.03,0.19178455946976622,0.23824546481956047,84.5613662048901,0.43863379510989375,48.96352942529705,55.67331766438022,23.963529425297047,30.67331766438022,14.799999999999999,46.518061224489784,PASS
teertstra,5,40,2,120,80.0,1.0,26,25,76.00000000000001,3.8095238095238093,0.002,0.24960000000000002,0.006,0.2556,21.1888,36.0,0.01184,11.92288,1219.047619047619,Laminar indicator,640.0,10.666666666666668,2.506971710958639,32.9666779991061,0.841660436470158,0.21607844494295145,7.123388516981857,0.5974553561708125,0.4497900554187976,0.01646090534979424,0.03,0.1864700030116195,0.23293090836141375,83.23272709035344,1.7672729096465645,45.96808824713492,51.8391529563327,20.968088247134922,26.839152956332697,14.799999999999999,36.713249999999995,PASS
teertstra,5,40,2,150,80.0,1.0,26,25,76.00000000000001,3.8095238095238093,0.002,0.312,0.0075,0.3195,21.1888,36.0,0.01184,11.92288,1219.047619047619,Laminar indicator,640.0,8.533333333333333,2.2027544105977657,28.96622049936062,0.8576081638477613,0.27507374712050153,7.967846812677811,0.6682820604315243,0.48741158226060566,0.01646090534979424,0.03,0.17207706185302635,0.2185379672028206,79.63449180070515,5.365508199294851,45.96808824713492,51.8391529563327,20.968088247134922,26.839152956332697,14.799999999999999,45.89156249999999,PASS
teertstra,5,50,2,80,80.0,1.0,26,25,76.00000000000001,3.846153846153846,0.0025,0.20800000000000002,0.004,0.21200000000000002,26.486000000000004,45.0,0.0148,14.9036,1230.7692307692307,Laminar indicator,640.0,16.0,3.087281934943192,40.597757444502975,0.7405365756508789,0.15803160773538283,6.415728879405912,0.43048182180184064,0.349804259244368,0.01646090534979424,0.03,0.19181551001058042,0.23827641536037467,84.56910384009367,0.43089615990632524,41.77447059770793,46.47132236506616,16.774470597707932,21.471322365066158,14.799999999999999,24.01152,PASS
teertstra,5,50,2,100,80.0,1.0,26,25,76.00000000000001,3.846153846153846,0.0025,0.26,0.005000000000000001,0.265,26.486000000000004,45.0,0.0148,14.9036,1230.7692307692307,Laminar indicator,640.0,12.799999999999999,2.763057219251167,36.33420243315284,0.7600125972642859,0.20260327528871436,7.36142841795994,0.4939362582168026,0.38978032165852006,0.01646090534979424,0.03,0.17214281651092447,0.21860372186071872,79.65093046517967,5.34906953482033,41.77447059770793,46.47132236506616,16.774470597707932,21.471322365066158,14.799999999999999,30.014400000000006,PASS
teertstra,5,50,2,120,80.0,1.0,26,25,76.00000000000001,3.846153846153846,0.0025,0.31200000000000006,0.006,0.31800000000000006,26.486000000000004,45.0,0.0148,14.9036,1230.7692307692307,Laminar indicator,640.0,10.666666666666668,2.506971710958639,32.9666779991061,0.7763367138688393,0.24821705472707792,8.182891717074074,0.5490547060491474,0.42250454459697706,0.01646090534979424,0.03,0.15880984772562803,0.20527075307542228,76.31768826885556,8.682311731144438,41.77447059770793,46.47132236506616,16.774470597707932,21.471322365066158,14.799999999999999,36.01727999999999,PASS
teertstra,5,50,2,150,80.0,1.0,26,25,76.00000000000001,3.846153846153846,0.0025,0.39,0.0075,0.3975,26.486000000000004,45.0,0.0148,14.9036,1230.7692307692307,Laminar indicator,640.0,8.533333333333333,2.2027544105977657,28.96622049936062,0.7969147861760223,0.3182967666086487,9.219854325819643,0.6186327012144477,0.46131952855468095,0.01646090534979424,0.03,0.14544773901302233,0.19190864436281657,72.97716109070414,12.022838909295857,41.77447059770793,46.47132236506616,16.774470597707932,21.471322365066158,14.799999999999999,45.02159999999999,PASS
