case,dielectric_flow_multiplier_relative_to_10K_case,dielectric_volume_flow_L_min,equivalent_bulk_coolant_delta_T_K,velocity_m_s,Re,Pr,Nu,h_W_m2K,effective_area_m2,R_conv_K_W,surface_to_fluid_delta_T_K,note
Bare 45 x 45 mm immersion,0.5,0.35714285714285715,20.0,0.013227513227513229,208.33333333333334,50.0,35.30781118555525,94.15416316148068,0.002025,5.244878653394015,1311.219663348504,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Spreader-only 80 x 80 mm immersion,0.5,0.35714285714285715,20.0,0.00744047619047619,208.33333333333331,50.0,35.30781118555525,52.96171677833288,0.0064,2.9502442425341333,737.5610606335333,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Finned immersion heat spreader,0.5,0.35714285714285715,20.0,0.00744047619047619,208.33333333333331,50.0,35.30781118555525,52.96171677833288,0.037585522022878334,0.502362668815009,125.59066720375226,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Bare 45 x 45 mm immersion,1.0,0.7142857142857143,10.0,0.026455026455026457,416.6666666666667,50.0,49.932785436320714,133.15409449685524,0.002025,3.708689262315476,927.172315578869,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Spreader-only 80 x 80 mm immersion,1.0,0.7142857142857143,10.0,0.01488095238095238,416.66666666666663,50.0,49.93278543632071,74.89917815448106,0.0064,2.086137710052455,521.5344275131138,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Finned immersion heat spreader,1.0,0.7142857142857143,10.0,0.01488095238095238,416.66666666666663,50.0,49.93278543632071,74.89917815448106,0.037585522022878334,0.3552240497340646,88.80601243351614,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Bare 45 x 45 mm immersion,2.0,1.4285714285714286,5.0,0.052910052910052914,833.3333333333334,50.0,70.6156223711105,188.30832632296136,0.002025,2.6224393266970076,655.609831674252,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Spreader-only 80 x 80 mm immersion,2.0,1.4285714285714286,5.0,0.02976190476190476,833.3333333333333,50.0,70.6156223711105,105.92343355666576,0.0064,1.4751221212670667,368.78053031676666,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Finned immersion heat spreader,2.0,1.4285714285714286,5.0,0.02976190476190476,833.3333333333333,50.0,70.6156223711105,105.92343355666576,0.037585522022878334,0.2511813344075045,62.79533360187613,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Bare 45 x 45 mm immersion,4.0,2.857142857142857,2.5,0.10582010582010583,1666.6666666666667,50.0,99.86557087264143,266.3081889937105,0.002025,1.854344631157738,463.5861577894345,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Spreader-only 80 x 80 mm immersion,4.0,2.857142857142857,2.5,0.05952380952380952,1666.6666666666665,50.0,99.86557087264141,149.79835630896213,0.0064,1.0430688550262275,260.7672137565569,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
Finned immersion heat spreader,4.0,2.857142857142857,2.5,0.05952380952380952,1666.6666666666665,50.0,99.86557087264141,149.79835630896213,0.037585522022878334,0.1776120248670323,44.40300621675807,"Flow cases are sensitivity points around the assumed 10 K bulk-rise baseline, not pump-selected operating points."
