air_case,air_case_source,base_width_mm,base_length_mm,base_area_mm2,velocity_m_s,cfm,architecture,architecture_type,k_xy_W_mK,k_z_W_mK,k_model_W_mK,t_physical_mm,t_model_mm,h_eff_W_m2K,a_eq_mm,b_eq_mm,epsilon,tau,Bi,phi,R_TIM_K_W,R_base_1D_K_W,R_spreading_K_W,R_solid_K_W,R_air_K_W,R_total_K_W,T_chip_C,thermal_margin_C,status,note
Compact baseline 80x80x25mm at 4 m/s,manual fallback from previous baseline result,80.0,80.0,6400.0,4.0,10.6,Aluminum 6061 base,isotropic,167.0,167.0,167.0,5.0,5.0,393.0431046976253,25.38853125964903,45.13516668382051,0.5624999999999999,0.11077836568159476,0.1062279403859499,0.1691357554528528,0.01646090534979424,0.004678143712574851,0.006348944207051243,0.027487993269420332,0.39753909465020576,0.42502708791962607,131.25677197990652,-46.25677197990652,FAIL,"isotropic solid aluminum, conservative alloy"
Compact baseline 80x80x25mm at 4 m/s,manual fallback from previous baseline result,80.0,80.0,6400.0,4.0,10.6,Aluminum high-k base,isotropic,200.0,200.0,200.0,5.0,5.0,393.0431046976253,25.38853125964903,45.13516668382051,0.5624999999999999,0.11077836568159476,0.08870033022226817,0.17060268466999015,0.01646090534979424,0.00390625,0.005347347645338386,0.025714502995132626,0.39753909465020576,0.4232535976453384,130.81339941133461,-45.813399411334615,FAIL,isotropic aluminum screening value
Compact baseline 80x80x25mm at 4 m/s,manual fallback from previous baseline result,80.0,80.0,6400.0,4.0,10.6,Copper spreader,isotropic,385.0,385.0,385.0,5.0,5.0,393.0431046976253,25.38853125964903,45.13516668382051,0.5624999999999999,0.11077836568159476,0.04607809362195749,0.1743052773455541,0.01646090534979424,0.0020292207792207795,0.0028381305003106587,0.02132825662932568,0.39753909465020576,0.41886735127953145,129.71683781988287,-44.71683781988287,FAIL,isotropic copper spreader
Compact baseline 80x80x25mm at 4 m/s,manual fallback from previous baseline result,80.0,80.0,6400.0,4.0,10.6,Vapor chamber conservative,anisotropic,2000.0,150.0,547.7225575051662,5.0,18.25741858350554,393.0431046976253,25.38853125964903,45.13516668382051,0.5624999999999999,0.40450539844910405,0.03238878114726233,0.08056490152879467,0.01646090534979424,0.005208333333333333,0.0009220783125662818,0.022591316995693854,0.39753909465020576,0.4201304116458996,130.0326029114749,-45.032602911474896,FAIL,"equivalent VC spreader, conservative through-thickness behavior"
Compact baseline 80x80x25mm at 4 m/s,manual fallback from previous baseline result,80.0,80.0,6400.0,4.0,10.6,Vapor chamber baseline,anisotropic,2500.0,300.0,866.0254037844386,5.0,14.433756729740645,393.0431046976253,25.38853125964903,45.13516668382051,0.5624999999999999,0.3197895962332777,0.020484463812414092,0.08706971558054727,0.01646090534979424,0.0026041666666666665,0.0006302589887900474,0.019695331005250956,0.39753909465020576,0.4172344256554567,129.3086064138642,-44.3086064138642,FAIL,"equivalent VC spreader, moderate literature-style in-plane value"
Compact baseline 80x80x25mm at 4 m/s,manual fallback from previous baseline result,80.0,80.0,6400.0,4.0,10.6,Vapor chamber optimistic sensitivity,anisotropic,10000.0,400.0,2000.0,5.0,25.0,393.0431046976253,25.38853125964903,45.13516668382051,0.5624999999999999,0.5538918284079738,0.008870033022226817,0.07615104957608089,0.01646090534979424,0.001953125,0.00023868682748363126,0.018652717177277872,0.39753909465020576,0.41619181182748366,129.04795295687092,-44.047952956870915,FAIL,"optimistic sensitivity only, not claimed as exact product data"
Recommended forced-air candidate 80x100x50mm,manual fallback from previous recommended result,80.0,100.0,8000.0,5.0,26.5,Aluminum 6061 base,isotropic,167.0,167.0,167.0,5.0,5.0,617.7748309890092,25.38853125964903,50.4626504404032,0.5031152949374526,0.09908318244015027,0.18667398411423677,0.19072379211550594,0.01646090534979424,0.0037425149700598802,0.007159306510066277,0.0273627268299204,0.20233909465020578,0.2297018214801262,82.42545537003156,2.574544629968443,PASS,"isotropic solid aluminum, conservative alloy"
Recommended forced-air candidate 80x100x50mm,manual fallback from previous recommended result,80.0,100.0,8000.0,5.0,26.5,Aluminum high-k base,isotropic,200.0,200.0,200.0,5.0,5.0,617.7748309890092,25.38853125964903,50.4626504404032,0.5031152949374526,0.09908318244015027,0.15587277673538769,0.19384854098197565,0.01646090534979424,0.0031249999999999997,0.006075962644886724,0.025661867994680964,0.20233909465020578,0.22800096264488673,82.00024066122168,2.9997593387783184,PASS,isotropic aluminum screening value
Recommended forced-air candidate 80x100x50mm,manual fallback from previous recommended result,80.0,100.0,8000.0,5.0,26.5,Copper spreader,isotropic,385.0,385.0,385.0,5.0,5.0,617.7748309890092,25.38853125964903,50.4626504404032,0.5031152949374526,0.09908318244015027,0.08097287103137023,0.2019916615116363,0.01646090534979424,0.0016233766233766233,0.0032889348164031585,0.02137321678957402,0.20233909465020578,0.2237123114397798,80.92807785994495,4.071922140055051,PASS,isotropic copper spreader
Recommended forced-air candidate 80x100x50mm,manual fallback from previous recommended result,80.0,100.0,8000.0,5.0,26.5,Vapor chamber conservative,anisotropic,2000.0,150.0,547.7225575051662,5.0,18.25741858350554,617.7748309890092,25.38853125964903,50.4626504404032,0.5031152949374526,0.36180062727913387,0.05691669061262553,0.08963948438847685,0.01646090534979424,0.004166666666666667,0.0010259383793164165,0.02165351039577732,0.20233909465020578,0.2239926050459831,80.99815126149576,4.001848738504236,PASS,"equivalent VC spreader, conservative through-thickness behavior"
