case,material,base_width_mm,base_length_mm,area_ratio_Abase_Asource,k_W_mK,epsilon,tau,Bi,phi,R_spreading_K_W,DeltaT_spreading_at_250W_C
No spreading: 45x45 source to 45x45 base,Aluminum 6061,45.0,45.0,1.0,167.0,1.0,0.19693931676727958,0.09121627997478693,0.0,0.0,0.0
No spreading: 45x45 source to 45x45 base,Copper,45.0,45.0,1.0,385.0,1.0,0.19693931676727958,0.039566542222829654,0.0,0.0,0.0
Mild spreading: 45x45 source to 60x60 base,Aluminum 6061,60.0,60.0,1.777777777777778,167.0,0.7499999999999999,0.14770448757545968,0.12162170663304926,0.07244851750170253,0.0027195408461701855,0.6798852115425463
Mild spreading: 45x45 source to 60x60 base,Copper,60.0,60.0,1.777777777777778,385.0,0.7499999999999999,0.14770448757545968,0.052755389630439554,0.07399890771009338,0.001204889261874356,0.301222315468589
Project compact base: 45x45 source to 80x80 base,Aluminum 6061,80.0,80.0,3.160493827160494,167.0,0.5624999999999999,0.11077836568159476,0.16216227551073237,0.16465669884074433,0.006180811333819552,1.5452028334548882
Project compact base: 45x45 source to 80x80 base,Copper,80.0,80.0,3.160493827160494,385.0,0.5624999999999999,0.11077836568159476,0.07034051950725273,0.1721735435817933,0.002803420486330546,0.7008551215826365
Project recommended base: 45x45 source to 80x100 base,Aluminum 6061,80.0,100.0,3.9506172839506175,167.0,0.5031152949374526,0.09908318244015027,0.18130293571402348,0.19125988331373356,0.0071794300676093015,1.7948575169023253
Project recommended base: 45x45 source to 80x100 base,Copper,80.0,100.0,3.9506172839506175,385.0,0.5031152949374526,0.09908318244015027,0.07864309159543356,0.20225824286682884,0.003293275434693712,0.823318858673428
Large spreading: 45x45 source to 120x120 base,Aluminum 6061,120.0,120.0,7.111111111111112,167.0,0.37499999999999994,0.07385224378772984,0.24324341326609852,0.22946653253324853,0.008613614599340064,2.153403649835016
Large spreading: 45x45 source to 120x120 base,Copper,120.0,120.0,7.111111111111112,385.0,0.37499999999999994,0.07385224378772984,0.10551077926087911,0.2515970061451998,0.004096635212667318,1.0241588031668296
